TIME_StartTime,IMU_AccX,IMU_AccY,IMU_AccZ,IMU_GyroX,IMU_GyroY,IMU_GyroZ,IMU_MagX,IMU_MagY,IMU_MagZ,IMU_tA,IMU_tG,IMU_tM
83366323,-0.722328782082,-0.830524921417,-10.0981369019,0.0135792158544,0.0224004648626,0.00789275951684,0.0160816796124,-0.0928951278329,0.654753684998,0.0,0.0,0.0
83370437,-0.618649423122,-0.671513676643,-9.76774406433,-0.00867514964193,0.0358813665807,-0.00858340691775,0.0596825666726,-0.128924503922,0.630537509918,0.0,0.0,0.0
83374120,-0.406276941299,-0.678293585777,-9.5073633194,-0.0246465280652,0.0325952358544,-0.020837944001,0.0596825666726,-0.128924503922,0.630537509918,0.0,0.0,0.0
83374120,-0.406276941299,-0.678293585777,-9.5073633194,-0.0246465280652,0.0325952358544,-0.020837944001,0.0596825666726,-0.128924503922,0.630537509918,0.0,0.0,0.0
83378326,-0.339666306973,-0.849428653717,-9.32371520996,-0.0290519800037,0.0222860947251,-0.0240631457418,0.0596825666726,-0.128924503922,0.630537509918,0.0,0.0,0.0
83382162,-0.343499720097,-1.20020461082,-9.08033561707,-0.0177727304399,0.00385218602605,-0.0145278908312,0.0913756266236,-0.161742776632,0.574315726757,0.0,0.0,0.0
83387169,-0.548981904984,-1.3054933548,-9.31096553802,-0.00398427806795,-0.0209065098315,-0.00573487346992,0.0913756266236,-0.161742776632,0.574315726757,0.0,0.0,0.0
83390617,-0.688882231712,-1.47678184509,-9.54073619843,0.0107345255092,-0.0230895746499,0.00302323210053,0.113524883986,-0.18249168992,0.53475934267,0.0,0.0,0.0
83394601,-0.789659619331,-1.02865409851,-9.82213306427,0.0179635174572,-0.0266514029354,0.00596759887412,0.113524883986,-0.18249168992,0.53475934267,0.0,0.0,0.0
83398955,-0.919111847878,-0.973326325417,-10.2226552963,0.0211719628423,-0.00663665868342,0.0156437791884,0.120745882392,-0.181763514876,0.505958080292,0.0,0.0,0.0
83402547,-0.857256412506,-0.886204361916,-10.0480241776,0.00757635664195,0.0160236172378,0.00246539851651,0.120745882392,-0.181763514876,0.505958080292,0.0,0.0,0.0
83406626,-0.726257622242,-0.632822811604,-9.80025959015,-0.0145005248487,0.0274815708399,-0.0143223330379,0.120745882392,-0.181763514876,0.505958080292,0.0,0.0,0.0
83411289,-0.471100717783,-0.729044258595,-9.60549926758,-0.0250223204494,0.0262908283621,-0.0206624586135,0.122249670327,-0.19258916378,0.512451529503,0.0,0.0,0.0
83415105,-0.446576476097,-0.852164149284,-9.41851902008,-0.0248541180044,0.0164455454797,-0.0192273929715,0.122249670327,-0.19258916378,0.512451529503,0.0,0.0,0.0
83415105,-0.446576476097,-0.852164149284,-9.41851902008,-0.0248541180044,0.0164455454797,-0.0192273929715,0.122249670327,-0.19258916378,0.512451529503,0.0,0.0,0.0
83418576,-0.424440771341,-1.03374946117,-9.20596218109,-0.0142761096358,-0.00424083368853,-0.0139256361872,0.109087921679,-0.190701514482,0.481745004654,0.0,0.0,0.0
83423195,-0.66449034214,-1.28217446804,-9.63607215881,0.00435284152627,-0.0186517052352,0.00207143113948,0.109087921679,-0.190701514482,0.481745004654,0.0,0.0,0.0
83426606,-0.713915109634,-1.32536995411,-9.7330904007,0.0136766349897,-0.010082995519,0.00323583628051,0.109087921679,-0.190701514482,0.481745004654,0.0,0.0,0.0
83430717,-0.872009634972,-1.02149534225,-10.0055236816,0.026508430019,-0.0111345192418,0.017262743786,0.116242222488,-0.168980538845,0.487220197916,0.0,0.0,0.0
83435234,-0.826268672943,-0.899145901203,-10.2043972015,0.0235224999487,0.0110058253631,0.0168874710798,0.116242222488,-0.168980538845,0.487220197916,0.0,0.0,0.0
83438661,-0.688432991505,-0.740721583366,-9.85517787933,0.000771655177232,0.0288527347147,-0.000797681277618,0.122811280191,-0.177083134651,0.50957518816,0.0,0.0,0.0
83442635,-0.491134941578,-0.62801361084,-9.66065979004,-0.0192113555968,0.034685947001,-0.0163799487054,0.122811280191,-0.177083134651,0.50957518816,0.0,0.0,0.0
83447328,-0.186428874731,-0.813850522041,-9.33777427673,-0.0276620648801,0.0271417535841,-0.0233684200794,0.122811280191,-0.177083134651,0.50957518816,0.0,0.0,0.0
83450560,-0.207804590464,-1.02542507648,-9.16934299469,-0.0243310946971,0.00923640932888,-0.0196991655976,0.12465043366,-0.184346631169,0.507677137852,0.0,0.0,0.0
83454595,-0.357461005449,-1.37581551075,-9.22464179993,-0.00941766705364,-0.0137913525105,-0.00810342095792,0.12465043366,-0.184346631169,0.507677137852,0.0,0.0,0.0
83459196,-0.651556611061,-1.56385016441,-9.48027324677,0.00292379665188,-0.0248657241464,-0.00149539008271,0.12217874825,-0.190065935254,0.505618095398,0.0,0.0,0.0
83462959,-0.775369882584,-1.25035667419,-9.66298675537,0.0131944837049,-0.023129651323,-0.00371579430066,0.12217874825,-0.190065935254,0.505618095398,0.0,0.0,0.0
83466621,-0.99768948555,-1.04233813286,-10.0655527115,0.0256480071694,-0.0199515260756,0.0161678045988,0.12217874825,-0.190065935254,0.505618095398,0.0,0.0,0.0
83471185,-1.02756953239,-0.842020630836,-10.2144937515,0.0176181998104,0.00444257957861,0.0121641410515,0.116872452199,-0.181145057082,0.499096244574,0.0,0.0,0.0
83474954,-0.947013020515,-0.667617619038,-9.87247562408,-0.00209930166602,0.0220052935183,-0.00607842113823,0.116872452199,-0.181145057082,0.499096244574,0.0,0.0,0.0
83478720,-0.58605659008,-0.678051769733,-9.67778682709,-0.0205157231539,0.0254759453237,-0.0144855519757,0.105703406036,-0.186247467995,0.530129790306,0.0,0.0,0.0
83483819,-0.317908704281,-0.616313397884,-9.51198577881,-0.0281910821795,0.0162917375565,-0.0226244051009,0.105703406036,-0.186247467995,0.530129790306,0.0,0.0,0.0
